Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Steps,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Backcountry Skiing,2025-02-18 13:32:02,false,"Underhill Backcountry Skiing","2.33","615","01:22:49","115","175","2.5","--","--","1.7","5.9","509","505","--","--","--","--","--","--","--","0.0","--","--","--","3,456","No","01:22:49","1","--","--","--","01:04:08","01:32:15","762","1,127"
Backcountry Skiing,2025-02-14 10:45:58,false,"Westfield Backcountry Skiing","2.84","1,095","02:10:23","129","151","3.7","--","--","1.3","11.3","1,440","1,442","--","--","--","--","--","--","--","0.0","--","--","--","3,344","No","02:10:23","1","30","18","41","01:08:57","02:10:23","2,202","2,808"
Backcountry Skiing,2025-02-13 15:09:44,false,"Underhill Backcountry Skiing","1.82","603","00:59:16","128","150","3.1","--","--","1.8","7.3","469","455","--","--","--","--","--","--","--","0.0","--","--","--","2,668","No","00:59:16","1","31","18","40","00:47:20","00:59:16","835","1,190"
Backcountry Skiing,2025-02-12 16:37:06,false,"Cambridge Backcountry Skiing","2.65","607","00:49:50","142","164","4.1","--","--","3.2","18.1","1,073","1,037","--","--","--","--","--","--","--","0.0","--","--","--","3,246","No","00:49:50","1","34","19","42","00:44:36","00:53:13","1,138","2,211"
Backcountry Skiing,2025-02-10 12:04:27,false,"Underhill Backcountry Skiing","2.92","985","01:54:17","124","152","3.1","--","--","1.5","9.9","1,270","1,245","--","--","--","--","--","--","--","0.0","--","--","--","2,288","No","01:54:17","1","29","19","37","01:14:05","02:03:22","1,405","2,673"
Backcountry Skiing,2025-02-07 11:03:42,false,"Westfield Backcountry Skiing","3.31","1,245","02:27:28","129","161","3.7","--","--","1.3","12.1","1,744","1,753","--","--","--","--","--","--","--","0.0","--","--","--","3,292","No","02:27:28","1","--","--","--","01:27:16","02:27:28","1,577","3,073"
Backcountry Skiing,2025-02-06 11:27:35,false,"Cambridge Backcountry Skiing","18.20","1,262","03:21:42","110","151","3.1","--","--","5.4","27.8","10,402","10,361","--","--","--","--","--","--","--","0.0","--","--","--","1,302","No","03:21:42","1","--","--","--","02:53:13","03:21:42","1,620","3,106"
Backcountry Skiing,2025-02-04 14:34:25,false,"Underhill Backcountry Skiing","3.56","657","00:56:26","148","162","4.5","--","--","3.8","15.7","995","1,011","--","--","--","--","--","--","--","0.0","--","--","--","3,718","No","00:56:26","1","35","22","42","00:55:14","01:03:53","1,325","2,344"
Backcountry Skiing,2025-02-02 12:25:28,false,"Underhill Backcountry Skiing","4.58","1,504","03:16:38","125","150","3.4","--","--","1.4","13.9","1,243","1,353","--","--","--","--","--","--","--","0.0","--","--","--","7,844","No","03:16:38","1","--","--","--","02:04:57","03:16:38","1,136","2,359"
Backcountry Skiing,2025-02-01 14:55:47,false,"Underhill Backcountry Skiing","2.20","755","01:14:29","132","150","3.4","--","--","1.8","9.9","562","570","--","--","--","--","--","--","--","0.0","--","--","--","2,512","No","01:14:29","1","32","24","42","00:57:35","01:14:29","812","1,133"
Backcountry Skiing,2025-01-31 13:28:17,false,"Underhill Backcountry Skiing","2.94","1,001","01:51:36","124","149","3.5","--","--","1.6","9.9","1,042","990","--","--","--","--","--","--","--","0.0","--","--","--","4,458","No","01:51:36","1","--","--","--","01:08:39","01:51:36","1,401","2,440"
Backcountry Skiing,2025-01-30 13:28:22,false,"Underhill Backcountry Skiing","2.14","658","01:03:46","130","150","3.3","--","--","2.0","6.7","601","602","--","--","--","--","--","--","--","0.0","--","--","--","3,200","No","01:03:46","1","--","--","--","00:53:09","01:16:34","830","1,131"
Backcountry Skiing,2025-01-28 06:28:02,false,"Cambridge Backcountry Skiing","2.91","439","01:05:05","117","173","2.4","--","--","2.7","25.0","1,471","1,436","--","--","--","--","--","--","--","0.0","--","--","--","4,826","No","01:05:05","1","28","24","36","00:55:01","01:20:48","1,590","3,064"
Backcountry Skiing,2025-01-26 06:32:31,false,"Cambridge Backcountry Skiing","2.82","658","00:58:01","139","173","4.9","--","--","2.9","32.7","1,458","1,360","--","--","--","--","--","--","--","0.0","--","--","--","5,642","No","00:58:01","1","--","--","--","00:50:17","01:18:27","1,594","3,048"
Walking,2025-01-22 14:40:01,false,"Minato Ward Walking","1.07","138","00:24:43","88","113","0.5","83","112","23:07","8:52","62","42","0.84","--","--","--","--","--","--","0.0","--","--","--","2,122","No","00:01:35.9","2","--","--","--","00:20:12","00:24:43","16","49"
Walking,2025-01-20 14:00:20,false,"Shibuya Ward Walking","6.67","815","03:08:04","82","111","0.7","71","185","28:12","6:37","242","306","0.81","--","--","--","--","--","--","0.0","--","--","--","13,956","No","00:18:10","7","--","--","--","02:28:42","03:39:53","75","213"
Backcountry Skiing,2025-01-18 09:15:42,false,"Furano City Backcountry Skiing","7.27","2,352","05:56:45","116","147","3.4","--","--","1.2","17.4","3,134","3,162","--","--","--","--","--","--","--","0.0","--","--","--","14,298","No","05:56:45","1","--","--","--","03:10:45","06:07:00","1,138","2,827"
Backcountry Skiing,2025-01-17 10:09:09,false,"Shimukappu Village Backcountry Skiing","7.89","1,740","04:46:13","114","150","3.1","--","--","1.7","26.4","3,332","4,958","--","--","--","--","--","--","--","0.0","--","--","--","5,566","No","04:46:13","1","--","--","--","02:09:24","04:46:13","1,928","3,867"
Walking,2025-01-16 11:53:46,false,"Furano City Walking","2.06","241","00:49:37","95","111","0.8","90","125","24:09","11:35","134","127","0.76","--","--","--","--","--","--","0.0","--","--","--","4,608","No","00:01:18.1","3","--","--","--","00:44:33","01:43:31","573","714"
Backcountry Skiing,2025-01-15 09:52:23,false,"Asahikawa City Backcountry Skiing","5.79","1,489","03:51:23","113","144","3.0","--","--","1.5","26.4","1,849","3,756","--","--","--","--","--","--","--","0.0","--","--","--","4,194","No","03:51:23","1","--","--","--","01:57:06","05:03:40","490","2,515"
Backcountry Skiing,2025-01-13 09:05:25,false,"Kamifurano Town Backcountry Skiing","6.27","2,980","07:15:37","119","153","4.0","--","--","0.9","11.6","3,124","3,141","--","--","--","--","--","--","--","0.0","--","--","--","8,206","No","07:15:37","1","--","--","--","03:10:39","07:29:17","3,272","4,911"
Backcountry Skiing,2025-01-12 09:22:32,false,"Kamifurano Town Backcountry Skiing","6.15","1,989","04:26:34","119","171","4.0","--","--","1.4","16.7","3,053","3,065","--","--","--","--","--","--","--","0.0","--","--","--","6,096","No","04:26:34","1","--","--","--","02:36:14","05:16:28","3,324","5,499"
Backcountry Skiing,2025-01-11 11:06:54,false,"Furano City Backcountry Skiing","9.21","1,069","03:09:05","103","148","2.5","--","--","2.9","24.3","3,727","5,601","--","--","--","--","--","--","--","0.0","--","--","--","786","No","03:09:05","1","--","--","--","01:50:31","03:09:05","1,066","3,512"
Indoor Rowing,2025-01-06 13:39:46,false,"Indoor Rowing","--","405","00:32:31","140","162","3.6","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","921","--","No","00:32:31","1","--","--","--","00:00:00","00:32:31","--","--"
Backcountry Skiing,2025-01-04 11:36:31,false,"Underhill Backcountry Skiing","5.00","898","01:49:40","123","152","3.3","--","--","2.7","19.8","1,196","1,200","--","--","--","--","--","--","--","0.0","--","--","--","5,504","No","01:49:40","1","--","--","--","01:23:43","01:49:40","1,192","2,380"
Walking,2025-01-01 12:32:47,false,"Underhill Walking","3.40","450","01:26:56","89","110","1.0","74","180","25:36","5:51","353","340","0.85","--","--","--","--","--","--","0.0","--","--","--","6,740","No","00:11:15","4","--","--","--","01:09:00","01:26:56","655","822"
Backcountry Skiing,2024-12-31 13:38:42,false,"Jay Backcountry Skiing","4.42","1,132","01:28:51","151","170","5.0","--","--","3.0","26.0","1,868","1,860","--","--","--","--","--","--","--","0.0","--","--","--","6,816","No","01:28:51","1","--","--","--","01:17:41","02:00:05","1,962","3,845"
